time,address,agent,price,link
7/5/2023 9:04,"41 Grand Canal View, Rialto, Dublin 8",Deirdre O'Gara,"€375,000",https://www.myhome.ie/residential/brochure/41-grand-canal-view-rialto-dublin-8/4701050
7/5/2023 9:04,"3 Bedroom Mid Terrace, Ballymakenny Park, Drogheda, Co. Louth",Angela McCabe,"€350,000",https://www.myhome.ie/residential/brochure/3-bedroom-mid-terrace-ballymakenny-park-drogheda-co-louth/4669091
7/5/2023 9:04,"58 Millbridge Way, Naas, Co. Kildare",Sherry FitzGerald O'Reilly (Naas),"€405,000",https://www.myhome.ie/residential/brochure/58-millbridge-way-naas-co-kildare/4711470
7/5/2023 9:04,"98 Meadow Gate, Gorey, Wexford",Jean Humphreys,"€290,000",https://www.myhome.ie/residential/brochure/98-meadow-gate-gorey-wexford/4707622
7/5/2023 9:04,"Saint Ronans, 6 Kitestown Road, Howth, Co. Dublin",Wayne O'Brien,"€1,170,000",https://www.myhome.ie/residential/brochure/saint-ronans-6-kitestown-road-howth-co-dublin/4701043
7/5/2023 9:04,"28 The Court, High Park, Drumcondra, Dublin 9, County Dublin",Fiona McGowan,"€335,000",https://www.myhome.ie/residential/brochure/28-the-court-high-park-drumcondra-dublin-9-county-dublin/4686534
7/5/2023 9:04,"Sunbury Park , Dartry, Dublin 6",Marshall Properties,"€1,150,000",https://www.myhome.ie/residential/brochure/sunbury-park-dartry-dublin-6/4706778
7/5/2023 9:04,"924 St. Patrick's Park, Celbridge, Kildare",TEAM LORRAINE MULLIGAN,"€370,000",https://www.myhome.ie/residential/brochure/924-st-patrick-s-park-celbridge-kildare/4715768
7/5/2023 9:04,"16 Chapelgate, St. Alphonsus Road, Drumcondra, Dublin 3",Barry  Connolly,"€500,000",https://www.myhome.ie/residential/brochure/16-chapelgate-st-alphonsus-road-drumcondra-dublin-3/4715769
7/5/2023 9:04,"194 GRACE PARK ROAD, Drumcondra, Dublin 9",Ronan Crinion,"€625,000",https://www.myhome.ie/residential/brochure/194-grace-park-road-drumcondra-dublin-9/4680632
7/5/2023 9:04,"17 Lohunda Close, Clonsilla, Dublin 15",Duffy Auctioneers MIPAV Sale and Letting Agent,"€375,000",https://www.myhome.ie/residential/brochure/17-lohunda-close-clonsilla-dublin-15/4713668
7/5/2023 9:04,"Loughanelton, Calry, Co. Sligo",Niall Draper,"€320,000",https://www.myhome.ie/residential/brochure/loughanelton-calry-co-sligo/4706759
7/5/2023 9:04,"51 Newfield Estate, Drogheda, Louth",Anthony Byrne,"€230,000",https://www.myhome.ie/residential/brochure/51-newfield-estate-drogheda-louth/4715766
7/5/2023 9:04,"12 Saint Mark's Terrace, Scarlet Street, Drogheda, Louth",Anthony Byrne,"€225,000",https://www.myhome.ie/residential/brochure/12-saint-mark-s-terrace-scarlet-street-drogheda-louth/4715675
7/5/2023 9:04,"73 Willouise, Sallins, Co. Kildare",Cathal O'Reilly,"€445,000",https://www.myhome.ie/residential/brochure/73-willouise-sallins-co-kildare/4713520
7/5/2023 9:04,"2 Ferncarrig Avenue, Fernleigh, Sandyford, Dublin 16",Darren Chambers,"€545,000",https://www.myhome.ie/residential/brochure/2-ferncarrig-avenue-fernleigh-sandyford-dublin-16/4715765
7/5/2023 9:04,"62 Ellesmere Avenue, North Circular Road, Dublin 1",Barry  Connolly,"€595,000",https://www.myhome.ie/residential/brochure/62-ellesmere-avenue-north-circular-road-dublin-1/4715764
7/5/2023 9:04,"Carrowtrasna, Churchill, Donegal",Austin Reynolds,"€50,000",https://www.myhome.ie/residential/brochure/carrowtrasna-churchill-donegal/4715435
7/5/2023 9:04,"10 The Paddocks, Kildangan, Kildare",MPA Duffy Property,"€395,000",https://www.myhome.ie/residential/brochure/10-the-paddocks-kildangan-kildare/4715761
7/5/2023 9:04,"Doneely, Merton Road, , Rathmines, Dublin 6",Joe Beirne,"€1,585,000",https://www.myhome.ie/residential/brochure/doneely-merton-road-rathmines-dublin-6/4691819
7/5/2023 9:04,"41 Grand Canal View, Rialto, Dublin 8",Deirdre O'Gara,"€375,000",https://www.myhome.ie/residential/brochure/41-grand-canal-view-rialto-dublin-8/4701050
7/5/2023 9:04,"3 Bedroom Mid Terrace, Ballymakenny Park, Drogheda, Co. Louth",Angela McCabe,"€350,000",https://www.myhome.ie/residential/brochure/3-bedroom-mid-terrace-ballymakenny-park-drogheda-co-louth/4669091
7/5/2023 9:04,"58 Millbridge Way, Naas, Co. Kildare",Sherry FitzGerald O'Reilly (Naas),"€405,000",https://www.myhome.ie/residential/brochure/58-millbridge-way-naas-co-kildare/4711470
7/5/2023 9:04,"98 Meadow Gate, Gorey, Wexford",Jean Humphreys,"€290,000",https://www.myhome.ie/residential/brochure/98-meadow-gate-gorey-wexford/4707622
7/5/2023 9:04,"Saint Ronans, 6 Kitestown Road, Howth, Co. Dublin",Wayne O'Brien,"€1,170,000",https://www.myhome.ie/residential/brochure/saint-ronans-6-kitestown-road-howth-co-dublin/4701043
7/5/2023 9:04,"28 The Court, High Park, Drumcondra, Dublin 9, County Dublin",Fiona McGowan,"€335,000",https://www.myhome.ie/residential/brochure/28-the-court-high-park-drumcondra-dublin-9-county-dublin/4686534
7/5/2023 9:04,"Sunbury Park , Dartry, Dublin 6",Marshall Properties,"€1,150,000",https://www.myhome.ie/residential/brochure/sunbury-park-dartry-dublin-6/4706778
7/5/2023 9:04,"924 St. Patrick's Park, Celbridge, Kildare",TEAM LORRAINE MULLIGAN,"€370,000",https://www.myhome.ie/residential/brochure/924-st-patrick-s-park-celbridge-kildare/4715768
7/5/2023 9:04,"16 Chapelgate, St. Alphonsus Road, Drumcondra, Dublin 3",Barry  Connolly,"€500,000",https://www.myhome.ie/residential/brochure/16-chapelgate-st-alphonsus-road-drumcondra-dublin-3/4715769
7/5/2023 9:04,"194 GRACE PARK ROAD, Drumcondra, Dublin 9",Ronan Crinion,"€625,000",https://www.myhome.ie/residential/brochure/194-grace-park-road-drumcondra-dublin-9/4680632
7/5/2023 9:04,"17 Lohunda Close, Clonsilla, Dublin 15",Duffy Auctioneers MIPAV Sale and Letting Agent,"€375,000",https://www.myhome.ie/residential/brochure/17-lohunda-close-clonsilla-dublin-15/4713668
7/5/2023 9:04,"Loughanelton, Calry, Co. Sligo",Niall Draper,"€320,000",https://www.myhome.ie/residential/brochure/loughanelton-calry-co-sligo/4706759
7/5/2023 9:04,"51 Newfield Estate, Drogheda, Louth",Anthony Byrne,"€230,000",https://www.myhome.ie/residential/brochure/51-newfield-estate-drogheda-louth/4715766
7/5/2023 9:04,"12 Saint Mark's Terrace, Scarlet Street, Drogheda, Louth",Anthony Byrne,"€225,000",https://www.myhome.ie/residential/brochure/12-saint-mark-s-terrace-scarlet-street-drogheda-louth/4715675
7/5/2023 9:04,"73 Willouise, Sallins, Co. Kildare",Cathal O'Reilly,"€445,000",https://www.myhome.ie/residential/brochure/73-willouise-sallins-co-kildare/4713520
7/5/2023 9:04,"2 Ferncarrig Avenue, Fernleigh, Sandyford, Dublin 16",Darren Chambers,"€545,000",https://www.myhome.ie/residential/brochure/2-ferncarrig-avenue-fernleigh-sandyford-dublin-16/4715765
7/5/2023 9:04,"62 Ellesmere Avenue, North Circular Road, Dublin 1",Barry  Connolly,"€595,000",https://www.myhome.ie/residential/brochure/62-ellesmere-avenue-north-circular-road-dublin-1/4715764
7/5/2023 9:04,"Carrowtrasna, Churchill, Donegal",Austin Reynolds,"€50,000",https://www.myhome.ie/residential/brochure/carrowtrasna-churchill-donegal/4715435
7/5/2023 9:04,"10 The Paddocks, Kildangan, Kildare",MPA Duffy Property,"€395,000",https://www.myhome.ie/residential/brochure/10-the-paddocks-kildangan-kildare/4715761
